Relation,Role,Player
0x8470800b8000000000000000,object,0x826e80078000000000000004
0x8470800b8000000000000000,action,0x826e800d8000000000000001
0x8470800b8000000000000001,object,0x826e80078000000000000009
0x8470800b8000000000000001,action,0x826e800d8000000000000001
0x8470800b8000000000000002,object,0x826e80078000000000000003
0x8470800b8000000000000002,action,0x826e800d8000000000000001
0x8470800b8000000000000003,object,0x826e80078000000000000002
0x8470800b8000000000000003,action,0x826e800d8000000000000001
0x8470800b8000000000000004,object,0x826e80078000000000000001
0x8470800b8000000000000004,action,0x826e800d8000000000000001
0x8470800b8000000000000005,object,0x826e80078000000000000006
0x8470800b8000000000000005,action,0x826e800d8000000000000000
0x8470800b8000000000000006,object,0x826e80078000000000000002
0x8470800b8000000000000006,action,0x826e800d8000000000000000
0x8470800b8000000000000007,object,0x826e80078000000000000007
0x8470800b8000000000000007,action,0x826e800d8000000000000000
0x8470800b8000000000000008,object,0x826e80078000000000000004
0x8470800b8000000000000008,action,0x826e800d8000000000000000
0x8470800b8000000000000009,object,0x826e80078000000000000008
0x8470800b8000000000000009,action,0x826e800d8000000000000001
0x8470800b800000000000000a,object,0x826e80078000000000000006
0x8470800b800000000000000a,action,0x826e800d8000000000000001
0x8470800b800000000000000b,object,0x826e80078000000000000000
0x8470800b800000000000000b,action,0x826e800d8000000000000001
0x8470800b800000000000000c,object,0x826e80078000000000000008
0x8470800b800000000000000c,action,0x826e800d8000000000000000
0x8470800b800000000000000d,object,0x826e80078000000000000009
0x8470800b800000000000000d,action,0x826e800d8000000000000000
0x8470800b800000000000000e,object,0x826e80078000000000000005
0x8470800b800000000000000e,action,0x826e800d8000000000000000
0x8470800b800000000000000f,object,0x826e80078000000000000007
0x8470800b800000000000000f,action,0x826e800d8000000000000001
0x8470800b8000000000000010,object,0x826e80078000000000000001
0x8470800b8000000000000010,action,0x826e800d8000000000000000
0x8470800b8000000000000011,object,0x826e80078000000000000003
0x8470800b8000000000000011,action,0x826e800d8000000000000000
0x8470800b8000000000000012,object,0x826e80078000000000000005
0x8470800b8000000000000012,action,0x826e800d8000000000000001
0x8470800b8000000000000013,object,0x826e80078000000000000000
0x8470800b8000000000000013,action,0x826e800d8000000000000000
